Rank,Index,Answer
24,11463,"Traditional brokers There are tons of players in this market, especially in USA. You have traditional brokers, brokers tied to your bank and a bunch of startups. The easiest is probably a broker tied to your bank, because you probably don't have to wait to fund your brokerage account and can start trading immediately. Often the older/traditional brokers don't have very intuitive interfaces, it's the startups who do a better job at this. But honestly it doesn't really matter, because you can use reporting services that are different from the services you use to execute your trades. Meaning that you only use the interface of your broker to execute trades (buy or sell), and use third party services to monitor your holdings. Monitoring services: Google Finance, Yahoo Finance, Sigfig, Morningstar,... are services allowing you to monitor your holdings. But you can't execute trades with them. Start-ups: Then there are a bunch of startups that offer investment services besides the traditional brokers. Start-up > Robinhood The most ambitious one is Robinhood, which offers the same service as a traditional broker, but completely free (most of the traditional brokers charge a flat fee and/or percentage when buying/selling hodlings) and with an intuitive interface. They're mobile first, but announced they will be launching their service on the web soon. Start-up > Acorns Another popular, mobile-first start-up is Acorns. They offer a lazy-investing service which rounds your everyday purchases and uses the change to invest. It's great when investing is not on your mind, but you still want to invest without realizing it. Start-ups > Robo-advisors Robo-advisors auto-invest your money across a bunch of funds picked based on your risk profile. Because the robo-advisers are fairly new, they often have the most intuitive interfaces. These robo-advisors often don't allow you to pick individual holdings, so these services are best when you want to passively invest. Meaning you don't want to look at it very often, and let them do the investing for you. There are tons of robo-advisor start-ups: Betterment, Wealthfront, Personal Capital, Sigfig, FutureAdvisor,... Also bigger parties jumped on this trend with their offerings: Schwab Intelligent Portfolios, Ally Managed Portfolio, Vanguard Personal Advisor, etc. Summary: It's fun to pick individual stocks, but if you start out it can be overwhelming. Robinhood is probably the best start, they have reduced functionality, but gets you going with an attractive interface. But soon you'll realize it's extremely hard to beat the market. Meaning that hand-picking stocks statistically gives you a worse return than just buying into the general stock market (like S&P500). So you can decide to just buy one fund with a traditional broker that covers the general stock market. Or you can decide to try out one of the many robo-advisors. They haven't been around that long, so it's hard to tell how effective these are and whether they beat the market. If you're young, and you believe in start-ups (who often try to challenge the traditional players), try out one of the robo-advisors. If you want to play a bit and are addicted to your smartphone, try out Robinhood. If you are addicted to your phone, but don't want to check up on your investments all the time, go for Acorns. Of course you can combine all these. Lastly, there are tons of cryptocurrencies which might give you a large return. Tons of startups offer intuitive interfaces to trade cryptocurrencies like Coinbase, Gemini, Kraken. But beware, there is a lot of risk involved in trading cryptocurrencies, it's completely unregulated etc. But definitely check them out. Oh, and you can also invest by giving out loans through LendingClub, Prosper etc. Who can you trust? Above gives you an overview of your options intermingled with some reasoning. But regarding your question ""who can I trust"" in terms of advice, it's up to yourself. Most traditional broker services don't give you any advice at all, you're on your own. Robo-advisors don't give you advice either, but let their proprietary algorithm do the job. Are these reliable? Nobody can tell, they haven't been around long enough, and they need to go through a bear market (a crash) to see how they respond during rough times. Some robo-advisors offer you personal consultancy (I believe Sigfig and PersonalCapital) does this (limited to a few hours per year). But obviously they'll try to promote their robo-advisor services."
25,10054,"In addition to a fee-only advisor, brought up by dg99, you could consider asking your questions on message boards such as Bogleheads.org. I have found the advice amazing, obviously conflict-free, and free."
26,11390,"If you use a financial planner not only should they be a fiduciary but you should just pay them an hourly rate once a year instead of a percentage unless the percentage is cheaper at this time. To find a good one, go to the National Association of Personal Financial Advisers website, NAPFA.org. Another good resource is Garrett Planning Network: GarrettPlanningNetwork.com."
27,8378,"To evaluate any advice, this lists some of the things to consider: There are good advisors out there. There are also Bernie Madoffs who give the entire industry a black eye. In the end, the best path is to educate yourself, read as much as you can before you invest. Better to lose a bit by staying out of the market than to lose it all by getting scammed."
28,7005,"I am a Certified Financial Planner and provide tactical advice on everything from budgeting to saving for retirement. You do not have to have any series exams or a CFP to do this work, although it helps give you credibility. As long as you DO NOT provide investment advice, you likely do not need to register as an investment advisor or need any certification."
29,3170,"Be very careful to hold on tight to your money! I agree with paying for an investment advisor, but I would say use at least two to get different viewpoints, and get credentials and references! Don't let relatives convince you to invest in their business, or help them out, or any other such nonsense. Real estate still is one of the best investments out there in my opinion. You could buy a fixer upper and rent it out?"
30,8077,"I think the other answers raise good points.  But to your question, ""How do I find an honest financial adviser"" ask your friends and family.  See who they talk to and confide in.  Go meet that person, understand what they do and how they view things and if you gel, great.  Honesty and strong ethics exist in individuals regardless of laws. What is it you're trying to accomplish?  You just have some money you want to put aside?  You want to save for something?  You want to start a budget or savings plan?  Your first step may be talking to a tax person, not an investment adviser.  Sometimes the most significant returns are generated when you simply retain more of your earnings and tax people know how to accomplish that.  You're just graduating university, you're just going to get your first job.  You don't need to hunt for the right heavy hitter 30% gains generating financial adviser.  You need to establish your financial foundation.  Crawl, walk, then run. There are some basics (that transcend international borders).  If you don't know much about investing, most (if not all) retirement and individual brokerage type accounts will give you access to some kind of market index fund.  You don't need to multinationally diversify in to high fee funds because ""emerging markets are screaming right now.""  Typically, over a few years the fees you pay in the more exotic asset classes will eat up the gains you've made compared to a very low fee market index fund. You can open free accounts at a number of financial institutions.  These free accounts at these banks all have a list of zero commission zero load funds, all have something resembling an index fund.  You can open your account for free, deposit your money for free, and buy shares in an index fund for free."
31,7267,"Technically, anyone who advises how you should spend or proportion your money is a financial adviser.  A person that does it for money is a Financial Advisor (difference in spelling). Financial Advisors are people that basically build, manage, or advise on your portfolio.  They have a little more institutional knowledge on how/where to invest, given your goals, since they do it on a daily basis. They may know a little more than you since, they deal with many different assets: stocks, ETFs, mutual funds, bonds, insurances (home/health/life), REITs, options, futures, LEAPS, etc. There is risk in everything you do, which is why what they propose is generally according to the risk-level you want to assume.  Since you're younger, your risk level could be a little higher, as you approach retirement, your risk level will be lower.  Risk level should be associated with how likely you're able to reacquire your assets if you lose it all as well as, your likelihood to enjoy the fruits from your investments. Financial Advisors are great, however, be careful about them.  Some are payed on commissions, which are given money for investing in packages that they support.  Basically, they could get paid $$ for putting you in a losing situation.  Also be careful because some announce that they are fee-based - these advisers often receive fees as well as commissions.  Basically, associate the term ""commission"" with ""conflict-of-interest"", so you want a fee-only Advisor, which isn't persuaded to steer you wrong. Another thing worth noting is that some trading companies (like e*trade) has financial services that may be free, depending how much money you have with them.  Generally, $50K is on the lower end to get a Financial Advisors.  There has been corruption in the past, where Financial Advisors are only given a limited number of accounts to manage, that means they took the lower-valued ones and basically ran them into the ground, so they could get newer ones from the lot that were hopefully worth more - the larger their portfolio, the more $$ they could make (higher fees or more commissions) and subjectively less work (less accounts to have to deal with), that's subjective, since the spread of the wealth was accross many markets."
32,13439,I would start by talking to a Fee-Only Financial Planner to make sure the portfolio fits with your goals.  You can find a list here: http://www.napfa.org/
33,16551,"You may want to look into robo-investors like Wealthfront and Betterment. There are many others, just search for ""robo investor""."
34,8076,"The other answers are good, but not UK-specific. You need to look for an Independent Financial Advisor (IFA). These are regulated by the FCA and you pay them a time-based fee for their services, they do not take commission on the products they recommend to you.  The Government Money Advice Service page (hat tip to @AndyT in the comments on the question for the link) tells you how to go about finding one of these and what sort of questions to ask. Contrary to the note in the answer by @Harper, in the UK many IFAs do have perfectly nice offices, this is not a sign that should put you off.  Personal recommendations for IFAs are usually the best way to go but failing that there are directories of them and many will have an initial conversation with you for free to ensure you are aligned with each other."
35,5998,"Usually your best bet for this sort of thing is to look for referrals from people you trust. If you have a lawyer or other trusted advisor, ask them."
36,4750,"The answers you've received already are very good. I truly sympathize with your situation. In general, it makes sense to try to build off of existing relationships. Here are a few ideas: I don't know if you work for a small or large company, or local/state government. But if there is any kind of retirement planning through your workplace, make sure to investigate that. Those people are usually already paid something for their services by your employer, so they should have less of an interest in making money off you directly. One more thought: A no-fee brokerage company e.g. Charles Schwab. They offer a free one hour phone call with an investment adviser if you invest at least $25K. I personally had very good experiences with them. This answer may be too anecdotal and not specifically address the annuity dilemma you mentioned. That annunity dilemma is why you need to find someone you can trust, who is competent (see the credentials for financial advisers mentioned in the other answers), and will work the numbers out with you."
37,8074,"You want a fee-only advisor.  He charges like an architect or plumber: by the hour or some other ""flat fee"". That is his only compensation. He is not paid on commission at all.  He is not affiliated with any financial services company of any kind.   His office is Starbucks.  He does not have a well lit office like the commission broker down the street.  He does not want you to hand him your money - it stays in the brokerage account of your choice (within reason - some brokerage accounts are terrible and he'll tell you to get out of those).  He never asks for the password to your brokerage account.  Edit: The UK recently outlawed commission brokers.  These guys were competitive ""sales types"" who thrive on commissions, and probably went into other sales jobs.  So right now, everyone is clamoring for the few proper financial advisors available.  High demand is making them expensive.  It may not be cost-effective to hire an advisor; you may need to learn it yourself.  It's not that hard.  Ever hear of a plumber who works totally for free, and makes his money selling you wildly overpriced pipe?  That's what regular ""financial advisors"" are.   They sell products that are deliberately made unnecessarily complex. The purpose is first, to conceal sales commissions and high internal fees; and second to confuse you, so the financial world feels so daunting that you feel like you need their help just to navigate it.   They're trying to fry your brain so you'l just give up and trust them.   Products like whole life and variable annuities are only the poster children for how awful all of their financial products are.  These products exist to fleece the consumer without quite breaking the law.  Of course, everyone goes to see them because they have well lit offices in every town, and they're free and easy to deal with. Don't feel like you need to know everything about finance to invest.  You don't need to understand every complex financial product that the brokerage houses bave dreamed up: they are designed to conceal and confuse, as I discuss above, and you don't want them.  The core of it is fairly simple, and that's all you really need to know.   Look at any smaller university and how they manage their endowments. If whole life, annuities and those complex financial ""products"" actually worked, university endowments would be full of them.   But they're not!  Endowments are generally made of investments you can understand.  Partly because university boards are made of investment bankers who invented those products, and know what a ripoff they are.   Some people refuse to learn anything.  They are done with college and refuse to learn anything more.   I hope that's not you.   Because you should learn the workings of everything you're investing in.    If you don't understand it, don't buy itl  And a fee-only financial advisor won't ask you to.  1000 well-heeled, well-advised university endowments seek the most successful products on the market... And end up choosing products you can understand.  That's good news for you."
38,9447,"Is my financial status OK?  You have money for emergencies in the bank, you spend less than you earn. Yes, your status is okay. You will have a good standard of living if nothing changes from your status quo. How can I improve it? You are probably paying more in taxes than you would if you made a few changes. If you max out tax advantaged retirement accounts that would reduce the up-front taxes you are paying on your savings. Is now a right time for me to see a financial advisor?  The best time to see a financial advisor is any time that your situation changes. New job? Getting married? Having a child? Got a big promotion or raise? Suddenly thinking about buying a house? Is it worth the money? How would she/he help me? If you pick an advisor who has incentive to help you rather than just pad his/her own pockets with commissions, then the advice is usually worth the money. If there is someone whose time is already paid for, that may be better.  For example, if you get an accountant to help you with your taxes and ask him/her how to best reduce your taxes the next year, the advice is already paid-for in the fee you for the tax help. An advisor should help you minimize the high taxes you are almost certainly paying as a single earner, and minimize the stealth taxes you are paying in inflation (on that $100k sitting in the bank)."
39,4472,"Obviously mate. Mortgage advisors don't have just one client, similarly why should you have only one advisor? it´s an open market. Don't worry about wasting their time, you are not wasting their time if you are considering a mortgage. then, in case you found a better deal with another mortgage advisor then that´s life - someone was better then them."
40,10895,"Another option to a human advisor is FutureAdvisor, a web service that (if it supports your 401k plan) gives personalized algorithmic advice on what you should hold in your 401(k) and other retirement accounts.  If it doesn't support your 401(k) plan just yet you can sign up to be emailed when your plan is added.  [Disclosure: I work here, but I believe in the product and it's designed to solve this exact problem so I'm mentioning it here]  Note from JoeTaxpayer - bolu's disclosure is much appreciated. The fee is $39/yr, with a free trial. Consider that a commissions based advisor won't even take on a $10K level account, and at $100K, you'd be hard pressed to gain by more than his 1% fee. So while I've not dug deeper into this site, a rules-based methodology is likely to be worth the cost if over time it gains you even a fraction of a percent compared to what you'd have done blindly."
